"","id","lat","long","type","site","code","locationtype","country"
"99",14904,50.73438,7.095485,"Dressel 20","Bonn","ASAENI","Military Camp","Germany"
"100",14917,50.73438,7.095485,"Dressel 20","Bonn","SAXOFERREO","Military Camp","Germany"
"101",14922,50.73438,7.095485,"Dressel 20","Bonn","SAXFERRIVS","Military Camp","Germany"
"102",14928,50.73438,7.095485,"Dressel 20","Bonn","SCALCELS","Military Camp","Germany"
"103",14995,50.73438,7.095485,"Dressel 20","Bonn","VIR","Military Camp","Germany"
"104",17921,50.73438,7.095485,"Dressel 20","Bonn","CIVENALBEP","Military Camp","Germany"
"105",20477,50.73438,7.095485,"Dressel 20","Bonn","GAF","Military Camp","Germany"
"108",14327,50.433886,8.672684,"Dressel 20","Butzbach","QFC","Military Camp","Germany"
"109",14344,50.433886,8.672684,"Dressel 20","Butzbach","SFE","Military Camp","Germany"
"110",14459,50.433886,8.672684,"Dressel 20","Butzbach","LIDFITALICAE","Military Camp","Germany"
"111",14493,50.433886,8.672684,"Dressel 20","Butzbach","QIMFN","Military Camp","Germany"
"112",14507,50.433886,8.672684,"Dressel 20","Butzbach","QIMF","Military Camp","Germany"
"113",14657,50.433886,8.672684,"Dressel 20","Butzbach","PMV","Military Camp","Germany"
"116",27403,49.897382,8.846132,"Dressel 20","Dieburg","PARVA","Civil Settlement","Germany"
"117",27403,49.897382,8.846132,"Dressel 20","Dieburg","PNN","Civil Settlement","Germany"
"118",27404,49.897382,8.846132,"Dressel 20","Dieburg","QMR","Civil Settlement","Germany"
"119",27406,49.897382,8.846132,"Dressel 20","Dieburg","FSCIMNIANO","Civil Settlement","Germany"
"120",27407,49.897382,8.846132,"Dressel 20","Dieburg","LFCCVCAT","Civil Settlement","Germany"
"121",27408,49.897382,8.846132,"Dressel 20","Dieburg","IIMINACRETCAL","Civil Settlement","Germany"
"122",27409,49.897382,8.846132,"Dressel 20","Dieburg","EFC","Civil Settlement","Germany"
"123",27410,49.897382,8.846132,"Dressel 20","Dieburg","QCM","Civil Settlement","Germany"
"124",27411,49.897382,8.846132,"Dressel 20","Dieburg","SNR","Civil Settlement","Germany"
"125",27412,49.897382,8.846132,"Dressel 20","Dieburg","PARVA","Civil Settlement","Germany"
"126",27413,49.897382,8.846132,"Dressel 20","Dieburg","ACIRC","Civil Settlement","Germany"
"127",27414,49.897382,8.846132,"Dressel 20","Dieburg","MMCSVR","Civil Settlement","Germany"
"128",27415,49.897382,8.846132,"Dressel 20","Dieburg","FICINA","Civil Settlement","Germany"
"129",27416,49.897382,8.846132,"Dressel 20","Dieburg","COL","Civil Settlement","Germany"
"130",27417,49.897382,8.846132,"Dressel 20","Dieburg","IIIENNIVLPALMA","Civil Settlement","Germany"
"131",27418,49.897382,8.846132,"Dressel 20","Dieburg","QFRRIV","Civil Settlement","Germany"
